CODBAIRRO,BAIRRO,CODRA,CODRA_TXT,RA,CODRP,CODAP,SHAPESTArea,SHAPESTLength,OBJECTID
13,Paquetá,21,XXI,Ilha de Paquetá,1.1,1,1705689.10595703,24841.4595527018,163
98,Freguesia (Ilha),20,XX,Ilha do Governador,3.7,3,4056413.73779297,18303.6207860736,164
97,Bancários,20,XX,Ilha do Governador,3.7,3,978049.200683594,7758.791976757,165
104,Galeão,20,XX,Ilha do Governador,3.7,3,18957473.3999023,21510.0881536391,166
101,Tauá,20,XX,Ilha do Governador,3.7,3,1672550.27490234,8246.1206657609,167
103,Portuguesa,20,XX,Ilha do Governador,3.7,3,1186412.64599609,5101.53016119072,168
102,Moneró,20,XX,Ilha do Governador,3.7,3,520558.879882812,3538.29016092565,169
144,Campo Grande,18,XVIII,Campo Grande,5.2,5,104445426.809082,75083.7523801408,170
48,Vigário Geral,31,XXXI,Vigário Geral,3.5,3,3385317.21044922,8077.09305360053,171
96,Cocotá,20,XX,Ilha do Governador,3.7,3,490103.737792969,4799.07827444475,172
49,Jardim América,31,XXXI,Vigário Geral,3.5,3,1973973.74853516,6129.78577443829,173
100,Jardim Carioca,20,XX,Ilha do Governador,3.7,3,1621130.56005859,6150.8879404598,174
114,Pavuna,25,XXV,Pavuna,3.6,3,8311427.95996094,18418.0819980067,175
46,Cordovil,31,XXXI,Vigário Geral,3.5,3,3856811.46875,13947.7226185136,176
99,Jardim Guanabara,20,XX,Ilha do Governador,3.7,3,3205890.65185547,9028.41995387209,177
47,Parada de Lucas,31,XXXI,Vigário Geral,3.5,3,2197974.59863281,9216.71393770689,178
159,Parque Colúmbia,25,XXV,Pavuna,3.6,3,1517138.55712891,6179.27776394783,179
95,Praia da Bandeira,20,XX,Ilha do Governador,3.7,3,379406.944824219,3423.22734292607,180
44,Penha Circular,11,XI,Penha,3.5,3,4623394.34228516,16639.4229706273,181
141,Bangu,17,XVII,Bangu,5.1,5,35966293.1201172,46529.0349054458,182
93,Cacuia,20,XX,Ilha do Governador,3.7,3,2068691.68847656,10232.346898263,183
76,Irajá,14,XIV,Irajá,3.3,3,7477859.91796875,18436.0199901793,184
107,Anchieta,22,XXII,Anchieta,3.6,3,4345738.734375,11471.434209761,185
111,Acari,25,XXV,Pavuna,3.6,3,1605528.59326172,6408.7814879392,186
94,Pitangueiras,20,XX,Ilha do Governador,3.7,3,604131.412597656,3514.09603961073,187
113,Costa Barros,25,XXV,Pavuna,3.6,3,1814836.58691406,6638.99911944573,188
45,Braz de Pina,11,XI,Penha,3.5,3,3522231.34326172,12591.6274942488,189
43,Penha,11,XI,Penha,3.5,3,5811338.81982422,13667.7942012633,190
92,Zumbi,20,XX,Ilha do Governador,3.7,3,161118.23828125,2122.52429503923,191
91,Ribeira,20,XX,Ilha do Governador,3.7,3,861927.15234375,7050.04065498894,192
110,Coelho Neto,25,XXV,Pavuna,3.6,3,2511977.16894531,7534.5487932695,193
106,Guadalupe,22,XXII,Anchieta,3.6,3,3820017.97558594,10384.2464879756,194
108,Parque Anchieta,22,XXII,Anchieta,3.6,3,3905800.51904297,13017.7519056283,195
112,Barros Filho,25,XXV,Pavuna,3.6,3,1723868.97412109,7194.16321061158,196
75,Vista Alegre,14,XIV,Irajá,3.3,3,515210.432128906,3581.53092090674,197
109,Ricardo de Albuquerque,22,XXII,Anchieta,3.6,3,2116875.49462891,9196.70607367511,198
77,Colégio,14,XIV,Irajá,3.3,3,2261116.34228516,7739.23260627972,199
87,Honório Gurgel,15,XV,Madureira,3.3,3,1374850.71679688,6884.59322024711,200
